borough,zip_code,persons_injured,persons_killed,pedestrian_injured,pedestrian_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,factor1,factor2,factor3,factor4,factor5,vehicle1,vehicle2,vehicle3,vehicle4,vehicle5,datetime
Manhattan,10016,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Box Truck,Sedan,,,,11/15/2018 15:40
Queens,11354,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Convertible,,,,11/15/2018 15:40
Queens,11104,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:49
Queens,11355,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:49
Brooklyn,11203,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inexperience,,,,Bike,Sedan,,,,11/15/2018 15:50
Brooklyn,11206,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:50
Queens,11422,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:50
Queens,11375,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:52
Brooklyn,11223,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:53
Bronx,10455,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11206,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Brooklyn,11212,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11225,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Pavement Slippery,,,,Box Truck,Sedan,,,,11/15/2018 16:00
Brooklyn,11228,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11235,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,Station Wagon/Sport Utility Vehicle,,,,,11/15/2018 16:00
Brooklyn,11237,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Queens,11354,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Queens,11358,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Chassis Cab,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Queens,11432,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Queens,11434,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Staten Island,10306,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Manhattan,10075,1,0,0,0,0,0,1,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Queens,11365,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Taxi,,,,11/15/2018 16:00
Queens,11372,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Manhattan,10025,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,Unspecified,,,Sedan,Ambulance,Taxi,,,11/15/2018 16:05
Queens,11435,0,0,0,0,0,0,0,0,Pavement Slippery,View Obstructed/Limited,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:10
Brooklyn,11206,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 16:10
Bronx,10475,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:12
Queens,11370,0,0,0,0,0,0,0,0,Pavement Slippery,Backing Unsafely,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,11/15/2018 16:14
Bronx,10455,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,Box Truck,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:15
Brooklyn,11206,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,Bus,,,,,11/15/2018 16:15
Manhattan,10022,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,Station Wagon/Sport Utility Vehicle,,,,,11/15/2018 16:15
Queens,11366,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:15
Manhattan,10023,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,11/15/2018 16:17
Queens,11373,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:19
Queens,11364,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 16:20
Bronx,10461,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:20
Queens,11378,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Box Truck,Box Truck,,,,11/15/2018 16:23
Brooklyn,11237,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:25
Brooklyn,11211,0,0,0,0,0,0,0,0,Pavement Slippery,Other Vehicular,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:30
Queens,11415,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:30
Queens,11420,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:30
Queens,11432,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:30
Manhattan,10065,0,0,0,0,0,0,0,0,Unspecified,,,,,PK,,,,,11/15/2018 16:35
Queens,11365,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:40
Queens,11691,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:43
Brooklyn,11228,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:45
Queens,11354,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:45
Queens,11375,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:45
Manhattan,10030,1,0,0,0,0,0,1,0,Pavement Slippery,Pavement Slippery,Unspecified,Unspecified,,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,11/15/2018 16:47
Brooklyn,11229,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,11/15/2018 16:48
Queens,11101,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Taxi,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:50
Queens,11358,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,,,,,11/15/2018 16:50
Queens,11420,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:50
Queens,11104,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Taxi,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:52
Manhattan,10033,5,0,0,0,0,0,5,0,Pavement Slippery,Unspecified,,,,Sedan,Chassis Cab,,,,11/15/2018 17:00
Queens,11367,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 17:09
Manhattan,10024,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Box Truck,,,,11/15/2018 17:10
Brooklyn,11203,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 17:10
Queens,11361,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 17:15
Brooklyn,11211,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,Box Truck,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 17:20
Brooklyn,11205,0,0,0,0,0,0,0,0,Unspecified,,,,,Station Wagon/Sport Utility Vehicle,,,,,11/15/2018 17:30
Brooklyn,11230,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,11/15/2018 17:30
Brooklyn,11238,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 17:30
Manhattan,10021,0,0,0,0,0,0,0,0,Unspecified,,,,,Station Wagon/Sport Utility Vehicle,,,,,11/15/2018 17:30
